time_tag,bar_line,five_min_rain
07:22:30,|,1
07:27:30,|,1
07:32:30,|,1
07:37:30,|,1
07:42:30,|,1
07:47:30,|,1
07:52:30,|,1
07:57:30,|,1
08:02:30,|,1
08:07:30,|,1
08:12:30,|,1
08:17:30,|,1
08:22:30,|,1
08:27:30,|,1
08:32:30,|,1
08:37:30,|,1
08:42:30,|,1
08:47:30,|,1
08:52:30,|,1
08:57:30,|,1
09:02:30,|,1
09:07:30,|,1
09:12:30,|,1
09:17:30,|,1
09:22:30,|,1
09:27:30,|,1
09:32:30,|,1
09:37:30,|,1
09:42:30,|,1
09:47:30,|,1
09:52:30,|,1
09:57:30,|,1
10:02:30,|,1
10:07:30,|,1
10:12:30,|,1
10:17:30,|,1
10:22:30,|,1
10:27:30,|,1
10:32:30,|,1
10:37:30,|,1
10:42:30,|,1
10:47:30,|,1
10:52:30,|,1
10:57:30,|,1
11:02:30,|,1
11:07:30,|,1
11:12:30,|,1
11:17:30,|,1
11:22:30,|,1
11:27:30,|,1
11:32:30,|,1
11:37:30,|,1
11:42:30,|,1
11:47:30,|,1
11:52:30,|,1
11:57:30,|,1
12:02:30,|,1
12:07:30,|,1
12:12:30,|,1
12:17:30,|,1
12:22:30,|,1
12:27:30,|,1
12:32:30,|,1
12:37:30,|,1
12:42:30,|,1
12:47:30,|,1
12:52:30,|,1
12:57:30,|,1
13:02:30,|,1
13:07:30,|,1
13:12:30,|,1
13:17:30,|,1
13:22:30,|,1
13:27:30,|,1
13:32:30,|,1
13:37:30,|,1
13:42:30,|,1
13:47:30,|,1
13:52:30,|,1
13:57:30,|,1
14:02:30,|,1
14:07:30,|,1
14:12:30,|,1
14:17:30,|,1
14:22:30,|,1
14:27:30,|,1
14:32:30,|,1
14:37:30,|,1
14:42:30,|,1
14:47:30,|,0
14:52:30,|,1
14:57:30,|,1
15:02:30,|,1
15:07:30,|,1
15:12:30,|,1
15:17:30,|,1
15:22:30,|,1
15:27:30,|,1
15:32:30,|,1
15:37:30,|,1
15:42:30,|,1
15:47:30,|,1
15:52:30,|,1
15:57:30,|,1
16:02:30,|,1
16:07:30,|,1
16:12:30,|,1
16:17:30,|,1
16:22:30,|,1
16:27:30,|,1
16:32:30,|,1
16:37:30,|,1
16:42:30,|,1
16:47:30,|,1
16:52:30,|,1
16:57:30,|,1
17:02:30,|,1
17:07:30,|,1
17:12:30,|,0
17:17:30,|,1
17:22:30,|,1
17:27:30,|,1
17:32:30,|,1
17:37:30,|,1
17:42:30,|,1
17:47:30,|,1
17:52:30,|,1
17:57:30,|,1
18:02:30,|,1
18:07:30,|,1
18:12:30,|,1
18:17:30,|,1
18:22:30,|,1
18:27:30,|,0
18:32:30,|,0
18:37:30,|,0
18:42:30,|,0
18:47:30,|,1
18:52:30,|,1
18:57:30,|,1
