,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
9/12/2018,11:53 PM,59 F,57 F,93 %,SE,5 mph,0 mph,29.34 in,0.0 in,Fair
,12:53 AM,60 F,57 F,90 %,S,5 mph,0 mph,29.35 in,0.0 in,Fair
,1:53 AM,57 F,56 F,96 %,SSW,3 mph,0 mph,29.35 in,0.0 in,Fair
,2:53 AM,55 F,55 F,100 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Fair
,3:53 AM,56 F,55 F,97 %,CALM,0 mph,0 mph,29.37 in,0.0 in,Fair
,4:53 AM,54 F,53 F,97 %,ENE,3 mph,0 mph,29.38 in,0.0 in,Fair
,5:53 AM,54 F,53 F,97 %,NE,5 mph,0 mph,29.39 in,0.0 in,Fair
,6:53 AM,60 F,59 F,96 %,E,3 mph,0 mph,29.39 in,0.0 in,Fair
,7:53 AM,66 F,60 F,81 %,CALM,0 mph,0 mph,29.39 in,0.0 in,Fair
,8:53 AM,71 F,60 F,68 %,CALM,0 mph,0 mph,29.40 in,0.0 in,Fair
,9:53 AM,75 F,57 F,53 %,VAR,5 mph,0 mph,29.39 in,0.0 in,Fair
,10:53 AM,77 F,57 F,50 %,NNE,6 mph,0 mph,29.39 in,0.0 in,Fair
,11:53 AM,79 F,55 F,44 %,E,7 mph,0 mph,29.37 in,0.0 in,Fair
,12:53 PM,80 F,55 F,42 %,E,6 mph,0 mph,29.36 in,0.0 in,Fair
,1:53 PM,82 F,53 F,37 %,VAR,6 mph,0 mph,29.34 in,0.0 in,Fair
,2:53 PM,83 F,53 F,36 %,ENE,8 mph,0 mph,29.34 in,0.0 in,Fair
,3:53 PM,82 F,54 F,38 %,NNE,7 mph,0 mph,29.33 in,0.0 in,Fair
,4:53 PM,79 F,58 F,48 %,E,7 mph,0 mph,29.33 in,0.0 in,Fair
,5:53 PM,73 F,58 F,59 %,NE,6 mph,0 mph,29.33 in,0.0 in,Fair
,6:53 PM,68 F,58 F,70 %,E,7 mph,0 mph,29.33 in,0.0 in,Fair
,7:53 PM,64 F,58 F,80 %,E,5 mph,0 mph,29.34 in,0.0 in,Fair
,8:53 PM,62 F,58 F,86 %,E,3 mph,0 mph,29.35 in,0.0 in,Fair
,9:53 PM,61 F,58 F,90 %,E,7 mph,0 mph,29.36 in,0.0 in,Fair
,10:53 PM,58 F,57 F,97 %,E,6 mph,0 mph,29.36 in,0.0 in,Fair
9/13/2018,11:53 PM,58 F,57 F,97 %,E,5 mph,0 mph,29.37 in,0.0 in,Fair
,12:53 AM,58 F,57 F,97 %,E,3 mph,0 mph,29.37 in,0.0 in,Fair
,1:53 AM,57 F,56 F,96 %,ENE,5 mph,0 mph,29.37 in,0.0 in,Fair
,2:53 AM,57 F,57 F,100 %,ENE,5 mph,0 mph,29.37 in,0.0 in,Fair
,3:53 AM,57 F,56 F,96 %,ENE,5 mph,0 mph,29.37 in,0.0 in,Fair
,4:53 AM,57 F,56 F,96 %,E,3 mph,0 mph,29.37 in,0.0 in,Fair
,5:53 AM,57 F,56 F,96 %,NE,5 mph,0 mph,29.38 in,0.0 in,Fair
,6:53 AM,62 F,59 F,90 %,ENE,7 mph,0 mph,29.39 in,0.0 in,Fair
,7:53 AM,67 F,61 F,81 %,ENE,5 mph,0 mph,29.39 in,0.0 in,Fair
,8:53 AM,72 F,60 F,66 %,ENE,6 mph,0 mph,29.39 in,0.0 in,Fair
,9:53 AM,75 F,59 F,57 %,NE,6 mph,0 mph,29.39 in,0.0 in,Fair
,10:53 AM,77 F,60 F,56 %,VAR,5 mph,0 mph,29.38 in,0.0 in,Fair
,11:53 AM,80 F,60 F,50 %,NNE,7 mph,0 mph,29.37 in,0.0 in,Fair
,12:53 PM,81 F,59 F,47 %,VAR,3 mph,0 mph,29.35 in,0.0 in,Fair
,1:53 PM,83 F,58 F,42 %,N,3 mph,0 mph,29.32 in,0.0 in,Fair
,2:53 PM,84 F,58 F,41 %,CALM,0 mph,0 mph,29.31 in,0.0 in,Fair
,3:53 PM,84 F,57 F,40 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Fair
,4:53 PM,83 F,59 F,44 %,NNE,3 mph,0 mph,29.29 in,0.0 in,Fair
,5:53 PM,77 F,61 F,58 %,NE,5 mph,0 mph,29.28 in,0.0 in,Fair
,6:53 PM,72 F,61 F,68 %,NE,3 mph,0 mph,29.28 in,0.0 in,Fair
,7:53 PM,70 F,60 F,71 %,ENE,5 mph,0 mph,29.31 in,0.0 in,Fair
,8:53 PM,68 F,61 F,78 %,E,6 mph,0 mph,29.32 in,0.0 in,Fair
,9:53 PM,66 F,60 F,81 %,E,5 mph,0 mph,29.32 in,0.0 in,Fair
,10:53 PM,65 F,60 F,84 %,SE,5 mph,0 mph,29.32 in,0.0 in,Fair
9/14/2018,11:53 PM,64 F,60 F,87 %,E,3 mph,0 mph,29.32 in,0.0 in,Fair
,12:53 AM,64 F,60 F,87 %,CALM,0 mph,0 mph,29.31 in,0.0 in,Fair
,1:53 AM,63 F,60 F,90 %,SSE,3 mph,0 mph,29.32 in,0.0 in,Fair
,2:53 AM,63 F,60 F,90 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Fair
,3:53 AM,62 F,59 F,90 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Fair
,4:53 AM,63 F,60 F,90 %,CALM,0 mph,0 mph,29.33 in,0.0 in,Fair
,5:53 AM,64 F,60 F,87 %,NE,3 mph,0 mph,29.35 in,0.0 in,Fair
,6:53 AM,69 F,63 F,81 %,E,3 mph,0 mph,29.35 in,0.0 in,Fair
,7:53 AM,73 F,63 F,71 %,E,3 mph,0 mph,29.36 in,0.0 in,Fair
,8:53 AM,79 F,64 F,60 %,NE,5 mph,0 mph,29.36 in,0.0 in,Fair
,9:53 AM,84 F,61 F,46 %,VAR,5 mph,0 mph,29.35 in,0.0 in,Fair
,10:53 AM,86 F,61 F,43 %,N,6 mph,0 mph,29.34 in,0.0 in,Fair
,11:53 AM,88 F,62 F,42 %,N,3 mph,0 mph,29.32 in,0.0 in,Fair
,12:53 PM,88 F,60 F,39 %,NW,3 mph,0 mph,29.30 in,0.0 in,Fair
,1:53 PM,88 F,61 F,40 %,VAR,5 mph,0 mph,29.29 in,0.0 in,Fair
,2:53 PM,90 F,62 F,39 %,NE,5 mph,0 mph,29.28 in,0.0 in,Fair
,3:53 PM,90 F,61 F,38 %,N,3 mph,0 mph,29.27 in,0.0 in,Fair
,4:53 PM,87 F,63 F,44 %,NE,3 mph,0 mph,29.28 in,0.0 in,Fair
,5:53 PM,81 F,64 F,56 %,E,6 mph,0 mph,29.28 in,0.0 in,Fair
,6:53 PM,76 F,64 F,67 %,ENE,5 mph,0 mph,29.29 in,0.0 in,Fair
,7:53 PM,73 F,64 F,73 %,E,6 mph,0 mph,29.30 in,0.0 in,Fair
,8:53 PM,72 F,64 F,76 %,ENE,6 mph,0 mph,29.31 in,0.0 in,Fair
,9:53 PM,73 F,64 F,73 %,ENE,7 mph,0 mph,29.32 in,0.0 in,Fair
,10:53 PM,70 F,63 F,78 %,ENE,8 mph,0 mph,29.32 in,0.0 in,Fair
9/15/2018,11:53 PM,69 F,63 F,81 %,ENE,7 mph,0 mph,29.31 in,0.0 in,Fair
,12:53 AM,69 F,63 F,81 %,ENE,7 mph,0 mph,29.31 in,0.0 in,Fair
,1:53 AM,68 F,63 F,84 %,ENE,8 mph,0 mph,29.31 in,0.0 in,Fair
,2:53 AM,68 F,63 F,84 %,ENE,7 mph,0 mph,29.32 in,0.0 in,Fair
,3:53 AM,66 F,63 F,90 %,ENE,7 mph,0 mph,29.32 in,0.0 in,Fair
,4:53 AM,66 F,62 F,87 %,ENE,6 mph,0 mph,29.33 in,0.0 in,Fair
,5:53 AM,66 F,63 F,90 %,ENE,7 mph,0 mph,29.34 in,0.0 in,Fair
,6:53 AM,70 F,64 F,81 %,ENE,6 mph,0 mph,29.35 in,0.0 in,Fair
,7:53 AM,75 F,66 F,73 %,ENE,6 mph,0 mph,29.36 in,0.0 in,Fair
,8:53 AM,80 F,66 F,62 %,NE,6 mph,0 mph,29.37 in,0.0 in,Fair
,9:53 AM,83 F,65 F,54 %,NE,7 mph,0 mph,29.37 in,0.0 in,Fair
,10:53 AM,85 F,63 F,48 %,NNE,9 mph,20 mph,29.35 in,0.0 in,Fair
,11:53 AM,87 F,61 F,41 %,NNE,9 mph,20 mph,29.34 in,0.0 in,Fair
,12:53 PM,88 F,59 F,37 %,ENE,10 mph,0 mph,29.32 in,0.0 in,Fair
,1:53 PM,90 F,59 F,35 %,N,8 mph,0 mph,29.30 in,0.0 in,Fair
,2:53 PM,90 F,58 F,34 %,NE,7 mph,0 mph,29.28 in,0.0 in,Fair
,3:53 PM,89 F,59 F,36 %,N,7 mph,0 mph,29.27 in,0.0 in,Fair
,4:53 PM,87 F,61 F,41 %,NNE,7 mph,0 mph,29.27 in,0.0 in,Fair
,5:53 PM,82 F,63 F,52 %,NNE,7 mph,0 mph,29.28 in,0.0 in,Fair
,6:53 PM,77 F,63 F,62 %,NE,6 mph,0 mph,29.28 in,0.0 in,Fair
,7:53 PM,75 F,64 F,69 %,NNE,7 mph,0 mph,29.29 in,0.0 in,Fair
,8:53 PM,75 F,64 F,69 %,NNE,8 mph,0 mph,29.29 in,0.0 in,Fair
,9:53 PM,74 F,65 F,73 %,NNE,13 mph,0 mph,29.30 in,0.0 in,Fair
,10:53 PM,71 F,65 F,81 %,NNE,9 mph,0 mph,29.29 in,0.0 in,Fair
9/16/2018,11:53 PM,71 F,65 F,81 %,NE,9 mph,0 mph,29.28 in,0.0 in,Fair
,12:53 AM,71 F,66 F,84 %,NE,13 mph,0 mph,29.28 in,0.0 in,Fair
,1:53 AM,70 F,67 F,90 %,ENE,9 mph,0 mph,29.27 in,0.0 in,Fair
,2:53 AM,70 F,68 F,93 %,NE,7 mph,0 mph,29.27 in,0.0 in,Fair
,3:53 AM,69 F,68 F,96 %,ENE,7 mph,0 mph,29.27 in,0.0 in,Fair
,4:53 AM,68 F,68 F,100 %,ENE,8 mph,0 mph,29.28 in,0.0 in,Fair
,5:53 AM,68 F,68 F,100 %,ENE,6 mph,0 mph,29.28 in,0.0 in,Fair
,6:53 AM,71 F,69 F,93 %,ENE,6 mph,0 mph,29.29 in,0.0 in,Fair
,7:53 AM,76 F,70 F,82 %,E,8 mph,0 mph,29.29 in,0.0 in,Fair
,8:53 AM,82 F,71 F,69 %,ENE,5 mph,0 mph,29.30 in,0.0 in,Mostly Cloudy
,9:53 AM,85 F,69 F,59 %,E,9 mph,0 mph,29.29 in,0.0 in,Fair
,10:53 AM,89 F,67 F,48 %,E,9 mph,0 mph,29.27 in,0.0 in,Partly Cloudy
,11:53 AM,91 F,63 F,39 %,VAR,6 mph,0 mph,29.25 in,0.0 in,Partly Cloudy
,12:53 PM,91 F,61 F,36 %,ENE,5 mph,0 mph,29.22 in,0.0 in,Mostly Cloudy
,1:53 PM,92 F,62 F,37 %,NE,8 mph,0 mph,29.20 in,0.0 in,Fair
,2:53 PM,91 F,61 F,36 %,VAR,6 mph,0 mph,29.18 in,0.0 in,Fair
,3:53 PM,90 F,62 F,39 %,ENE,5 mph,0 mph,29.18 in,0.0 in,Fair
,4:53 PM,88 F,64 F,45 %,ENE,10 mph,0 mph,29.17 in,0.0 in,Fair
,5:53 PM,83 F,66 F,56 %,E,7 mph,0 mph,29.17 in,0.0 in,Mostly Cloudy
,6:53 PM,74 F,65 F,73 %,ESE,6 mph,0 mph,29.17 in,0.0 in,Fair
,7:53 PM,73 F,66 F,79 %,ESE,5 mph,0 mph,29.19 in,0.0 in,Fair
,8:53 PM,71 F,66 F,84 %,SE,6 mph,0 mph,29.19 in,0.0 in,Fair
,9:53 PM,71 F,66 F,84 %,E,3 mph,0 mph,29.19 in,0.0 in,Fair
,10:53 PM,70 F,66 F,87 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Fair
9/17/2018,11:53 PM,68 F,66 F,93 %,E,6 mph,0 mph,29.17 in,0.0 in,Fair
,12:53 AM,67 F,66 F,97 %,CALM,0 mph,0 mph,29.17 in,0.0 in,Fair
,1:53 AM,67 F,66 F,97 %,CALM,0 mph,0 mph,29.16 in,0.0 in,Fair
,2:53 AM,67 F,66 F,97 %,CALM,0 mph,0 mph,29.16 in,0.0 in,Fair
,3:53 AM,66 F,65 F,96 %,NW,3 mph,0 mph,29.16 in,0.0 in,Fair
,4:53 AM,66 F,65 F,96 %,NW,3 mph,0 mph,29.15 in,0.0 in,Fair
,5:53 AM,65 F,64 F,97 %,CALM,0 mph,0 mph,29.16 in,0.0 in,Fair
,6:53 AM,72 F,69 F,91 %,CALM,0 mph,0 mph,29.17 in,0.0 in,Fair
,7:53 AM,77 F,70 F,79 %,W,5 mph,0 mph,29.17 in,0.0 in,Fair
,8:53 AM,82 F,69 F,65 %,WNW,7 mph,0 mph,29.17 in,0.0 in,Fair
,9:53 AM,87 F,68 F,53 %,N,7 mph,0 mph,29.17 in,0.0 in,Fair
,10:53 AM,89 F,66 F,46 %,NW,5 mph,0 mph,29.15 in,0.0 in,Partly Cloudy
,11:53 AM,91 F,66 F,43 %,N,6 mph,0 mph,29.14 in,0.0 in,Fair
,12:53 PM,93 F,63 F,37 %,NE,6 mph,0 mph,29.11 in,0.0 in,Fair
,1:53 PM,94 F,63 F,36 %,VAR,5 mph,0 mph,29.09 in,0.0 in,Fair
,2:53 PM,92 F,58 F,32 %,CALM,0 mph,0 mph,29.09 in,0.0 in,Fair
,3:53 PM,92 F,58 F,32 %,CALM,0 mph,0 mph,29.08 in,0.0 in,Partly Cloudy
,4:53 PM,89 F,63 F,42 %,W,8 mph,0 mph,29.09 in,0.0 in,Mostly Cloudy
,5:53 PM,82 F,65 F,56 %,WNW,5 mph,0 mph,29.10 in,0.0 in,Mostly Cloudy
,6:53 PM,80 F,65 F,60 %,W,6 mph,0 mph,29.11 in,0.0 in,Mostly Cloudy
,7:53 PM,78 F,65 F,64 %,WNW,7 mph,0 mph,29.13 in,0.0 in,Fair
,8:53 PM,75 F,64 F,69 %,WNW,7 mph,0 mph,29.13 in,0.0 in,Fair
,9:53 PM,70 F,64 F,81 %,NW,6 mph,0 mph,29.14 in,0.0 in,Fair
,10:53 PM,71 F,64 F,78 %,CALM,0 mph,0 mph,29.14 in,0.0 in,Fair
9/18/2018,11:53 PM,70 F,64 F,81 %,NW,5 mph,0 mph,29.15 in,0.0 in,Fair
,12:53 AM,67 F,64 F,90 %,W,6 mph,0 mph,29.14 in,0.0 in,Fair
,1:53 AM,66 F,63 F,90 %,W,3 mph,0 mph,29.14 in,0.0 in,Fair
,2:53 AM,66 F,63 F,90 %,W,6 mph,0 mph,29.14 in,0.0 in,Fair
,3:53 AM,64 F,62 F,93 %,W,6 mph,0 mph,29.15 in,0.0 in,Fair
,4:53 AM,64 F,62 F,93 %,W,5 mph,0 mph,29.15 in,0.0 in,Fair
,5:53 AM,65 F,63 F,93 %,W,5 mph,0 mph,29.16 in,0.0 in,Fair
,6:53 AM,71 F,66 F,84 %,NW,3 mph,0 mph,29.18 in,0.0 in,Fair
,7:53 AM,77 F,67 F,71 %,W,3 mph,0 mph,29.18 in,0.0 in,Fair
,8:53 AM,84 F,66 F,55 %,WNW,5 mph,0 mph,29.17 in,0.0 in,Fair
,9:53 AM,88 F,63 F,43 %,WNW,5 mph,0 mph,29.16 in,0.0 in,Fair
,10:53 AM,91 F,61 F,36 %,CALM,0 mph,0 mph,29.15 in,0.0 in,Fair
,11:53 AM,90 F,59 F,35 %,W,5 mph,0 mph,29.14 in,0.0 in,Fair
,12:53 PM,90 F,59 F,35 %,W,3 mph,0 mph,29.12 in,0.0 in,Fair
,1:53 PM,92 F,60 F,34 %,W,6 mph,0 mph,29.11 in,0.0 in,Partly Cloudy
,2:53 PM,92 F,62 F,37 %,N,6 mph,0 mph,29.11 in,0.0 in,Fair
,3:53 PM,88 F,64 F,45 %,N,7 mph,0 mph,29.09 in,0.0 in,Partly Cloudy
,4:53 PM,87 F,66 F,49 %,N,7 mph,0 mph,29.09 in,0.0 in,Fair
,5:53 PM,82 F,66 F,58 %,NE,13 mph,0 mph,29.11 in,0.0 in,Fair
,6:53 PM,78 F,67 F,68 %,NE,7 mph,0 mph,29.12 in,0.0 in,Fair
,7:53 PM,75 F,67 F,76 %,E,7 mph,0 mph,29.12 in,0.0 in,Fair
,8:53 PM,72 F,66 F,81 %,E,6 mph,0 mph,29.12 in,0.0 in,Fair
,9:53 PM,73 F,66 F,79 %,ENE,6 mph,0 mph,29.14 in,0.0 in,Fair
,10:53 PM,73 F,66 F,79 %,NNE,10 mph,0 mph,29.15 in,0.0 in,Fair
9/19/2018,11:53 PM,71 F,65 F,81 %,NE,10 mph,0 mph,29.15 in,0.0 in,Fair
,12:53 AM,70 F,65 F,84 %,ENE,8 mph,0 mph,29.14 in,0.0 in,Fair
,1:53 AM,69 F,65 F,87 %,ENE,10 mph,0 mph,29.15 in,0.0 in,Fair
,2:53 AM,68 F,65 F,90 %,ENE,8 mph,0 mph,29.15 in,0.0 in,Fair
,3:53 AM,67 F,65 F,93 %,NE,7 mph,0 mph,29.17 in,0.0 in,Fair
,4:53 AM,67 F,65 F,93 %,NE,6 mph,0 mph,29.18 in,0.0 in,Fair
,5:53 AM,67 F,65 F,93 %,ENE,8 mph,0 mph,29.19 in,0.0 in,Fair
,6:53 AM,69 F,65 F,87 %,ENE,13 mph,0 mph,29.19 in,0.0 in,Fair
,7:53 AM,74 F,67 F,79 %,E,10 mph,0 mph,29.20 in,0.0 in,Fair
,8:53 AM,79 F,68 F,69 %,ENE,8 mph,0 mph,29.21 in,0.0 in,Fair
,9:53 AM,85 F,67 F,55 %,E,10 mph,0 mph,29.21 in,0.0 in,Fair
,10:53 AM,89 F,68 F,50 %,SSE,10 mph,0 mph,29.19 in,0.0 in,Fair
,11:53 AM,90 F,67 F,46 %,VAR,7 mph,0 mph,29.18 in,0.0 in,Mostly Cloudy
,12:53 PM,90 F,68 F,48 %,SW,8 mph,0 mph,29.18 in,0.0 in,Fair
,1:53 PM,94 F,68 F,43 %,SW,10 mph,0 mph,29.15 in,0.0 in,Mostly Cloudy
,2:53 PM,92 F,69 F,47 %,SSW,13 mph,0 mph,29.12 in,0.0 in,Fair
,3:53 PM,91 F,67 F,45 %,SW,10 mph,0 mph,29.14 in,0.0 in,Fair
,4:53 PM,88 F,68 F,51 %,SSW,9 mph,0 mph,29.14 in,0.0 in,Fair
,5:28 PM,85 F,68 F,57 %,SSW,8 mph,0 mph,29.14 in,0.0 in,Thunder in the Vicinity
,5:43 PM,85 F,67 F,55 %,SSW,8 mph,0 mph,29.15 in,0.0 in,Fair
,5:53 PM,84 F,67 F,56 %,SSW,8 mph,0 mph,29.15 in,0.0 in,Fair
,6:53 PM,79 F,71 F,77 %,NE,9 mph,0 mph,29.16 in,0.0 in,Mostly Cloudy
,7:53 PM,75 F,70 F,84 %,E,3 mph,0 mph,29.17 in,0.0 in,Fair
,8:53 PM,74 F,70 F,87 %,ESE,6 mph,0 mph,29.17 in,0.0 in,Fair
,9:53 PM,73 F,70 F,90 %,ESE,5 mph,0 mph,29.17 in,0.0 in,Fair
,10:53 PM,72 F,69 F,91 %,E,6 mph,0 mph,29.16 in,0.0 in,Fair
9/20/2018,11:53 PM,70 F,68 F,93 %,ESE,6 mph,0 mph,29.17 in,0.0 in,Fair
,12:53 AM,69 F,68 F,96 %,SSE,5 mph,0 mph,29.18 in,0.0 in,Fair
,1:53 AM,69 F,69 F,100 %,S,6 mph,0 mph,29.18 in,0.0 in,Fair
,2:53 AM,71 F,70 F,96 %,S,7 mph,0 mph,29.19 in,0.0 in,Fair
,3:53 AM,72 F,70 F,93 %,S,8 mph,0 mph,29.18 in,0.0 in,Fair
,4:53 AM,72 F,70 F,93 %,S,8 mph,0 mph,29.18 in,0.0 in,Fair
,5:53 AM,71 F,71 F,100 %,SSW,7 mph,0 mph,29.19 in,0.0 in,Fair
,6:53 AM,76 F,72 F,87 %,S,12 mph,0 mph,29.19 in,0.0 in,Fair
,7:53 AM,81 F,72 F,74 %,SSW,10 mph,0 mph,29.20 in,0.0 in,Fair
,8:53 AM,86 F,72 F,63 %,SSW,12 mph,0 mph,29.21 in,0.0 in,Fair
,9:53 AM,90 F,72 F,55 %,SSW,15 mph,0 mph,29.20 in,0.0 in,Fair
,10:53 AM,92 F,71 F,50 %,SW,14 mph,25 mph,29.18 in,0.0 in,Mostly Cloudy
,11:53 AM,91 F,70 F,50 %,WSW,12 mph,0 mph,29.17 in,0.0 in,Light Rain
,12:53 PM,88 F,75 F,65 %,SSW,3 mph,0 mph,29.14 in,0.1 in,Mostly Cloudy
,1:53 PM,92 F,71 F,50 %,S,15 mph,24 mph,29.12 in,0.0 in,Light Rain
,2:53 PM,93 F,68 F,44 %,S,17 mph,26 mph,29.11 in,0.0 in,Light Rain
,3:53 PM,93 F,67 F,42 %,SSW,20 mph,26 mph,29.10 in,0.0 in,Fair
,4:53 PM,91 F,67 F,45 %,S,17 mph,0 mph,29.09 in,0.0 in,Fair
,5:53 PM,87 F,68 F,53 %,S,12 mph,0 mph,29.09 in,0.0 in,Fair
,6:53 PM,83 F,68 F,60 %,S,14 mph,0 mph,29.09 in,0.0 in,Fair
,7:53 PM,82 F,68 F,62 %,S,14 mph,0 mph,29.09 in,0.0 in,Fair
,8:53 PM,80 F,68 F,67 %,S,13 mph,0 mph,29.10 in,0.0 in,Fair
,9:53 PM,78 F,68 F,71 %,S,10 mph,0 mph,29.11 in,0.0 in,Fair
,10:53 PM,77 F,68 F,74 %,S,13 mph,0 mph,29.11 in,0.0 in,Fair
9/21/2018,11:53 PM,78 F,67 F,68 %,SSW,12 mph,0 mph,29.12 in,0.0 in,Fair
,12:53 AM,76 F,67 F,74 %,S,10 mph,0 mph,29.11 in,0.0 in,Fair
,1:53 AM,76 F,67 F,74 %,S,13 mph,0 mph,29.10 in,0.0 in,Fair
,2:53 AM,75 F,67 F,76 %,SSW,12 mph,0 mph,29.10 in,0.0 in,Fair
,3:53 AM,75 F,67 F,76 %,SSW,14 mph,0 mph,29.09 in,0.0 in,Partly Cloudy
,4:53 AM,77 F,67 F,71 %,SSW,15 mph,0 mph,29.08 in,0.0 in,Mostly Cloudy
,5:26 AM,77 F,69 F,76 %,WSW,15 mph,26 mph,29.10 in,0.0 in,Cloudy
